respondent_id,_true_persona_segment,_is_noisy_responder,_is_outlier,A1_age_group,A2_residency_status,A3_emirate,A4_occupation_status,A5_gender,B1_stress_frequency,B2_stress_severity_1to10,B4_coping_ability,C1_stigma_comfort_1to5,C2_stigma_judged,D1_interest_in_tool,D3_recommend_likelihood_1to5,E1_ai_comfort_1to5,E4_ai_rec_likelihood_1to5,E5_trust_preference,F1_would_use,F2_would_pay,F4_language_preference,B3_Academics / studies,B3_Career or work,B3_Cultural or religious expectations,B3_Family expectations,B3_Friendships or romantic relationships,B3_Future or financial uncertainty,B3_Other,B3_Social media or self-image,B5_Family,B5_Friends,B5_No one,B5_Online community,B5_Other,B5_Religious or community figure,B5_Teacher or mentor,B5_Therapist or counselor,C3_Cost,C3_Dont know where to go,C3_Family disapproval,C3_Fear of being judged,C3_Feel its not serious enough,C3_Lack of privacy,C3_Lack of time,C3_Nothing stops me,D2_24/7 chat-based support,D2_Academic or work-life coaching,D2_Access to licensed therapists,D2_Crisis support,D2_Mood tracking over time,D2_Peer community my age,D2_Personalized advice,D2_Quick stress relief techniques,E2_Accuracy or safety of advice,E2_Cant replace real therapy,E2_Conflicts with religious or cultural values,E2_Lack of real empathy,E2_No real concerns,E2_Privacy or data security,E3_Built with mental health professionals,E3_Endorsed by religious or community leaders,E3_Free or low-cost access,E3_Nothing would increase trust,E3_Option to escalate to human,E3_Positive reviews from peers,E3_Strong privacy guarantees,F3_In-person workshops,F3_Mobile app,F3_Social media-based content,F3_Website,F3_WhatsApp or chat-based
238,Distressed_Skeptic,0,0,18-20,Expatriate resident,Other,In college or university,Male,Often,8,"No, not really",2,Somewhat,Not sure,3,2,2,AI + human (hybrid),No,No,Both English and Arabic,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0
239,Curious_Pragmatist,0,0,18-20,Expatriate resident,Abu Dhabi,In college or university,Male,Sometimes,6,Not sure,2,"Yes, a lot",Not sure,3,4,3,No preference,"Yes, definitely",No,English,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
240,Resilient_Optimizer,0,0,21-24,International student (short-term),Dubai,In college or university,Male,Almost always,5,"Yes, definitely",4,"Yes, a lot",Probably not,4,3,3,AI on its own,Maybe,Only if free version available,English,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1
241,Curious_Pragmatist,0,0,21-24,Expatriate resident,Dubai,Working professional,Male,Rarely,7,Somewhat,2,"Yes, a lot",Probably,2,3,4,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",Other,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
242,Distressed_Skeptic,0,0,12-14,Expatriate resident,Abu Dhabi,In school (middle/high school),Male,Almost always,8,Somewhat,1,Not at all,Probably not,1,1,4,Human professional only,No,No,Both English and Arabic,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
243,Curious_Pragmatist,0,0,25-27,Expatriate resident,Abu Dhabi,Working professional,Male,Rarely,4,Somewhat,4,Not really,Definitely,3,3,3,Human professional only,Maybe,"Yes, willing to pay",Both English and Arabic,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1
244,Low_Need_Indifferent,1,0,21-24,Expatriate resident,Dubai,Working professional,Female,Often,2,Somewhat,5,Somewhat,Definitely not,2,2,1,Human professional only,Maybe,Only if free version available,Both English and Arabic,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0
245,Distressed_Skeptic,0,0,18-20,Expatriate resident,Ajman,Both studying and working,Female,Almost always,9,"No, not really",2,"Yes, a lot",Definitely not,2,1,3,Human professional only,No,Only if free version available,Both English and Arabic,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
246,Curious_Pragmatist,0,0,25-27,Expatriate resident,Abu Dhabi,Working professional,Male,Often,7,"Yes, definitely",3,Somewhat,Probably,5,4,2,AI + human (hybrid),Maybe,Only if free version available,English,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0
247,Distressed_Skeptic,0,0,25-27,Expatriate resident,Dubai,Currently not studying or working,Female,Often,9,Not sure,2,"Yes, a lot",Not sure,3,1,3,No preference,No,No,English,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
248,Low_Need_Indifferent,0,0,12-14,UAE National (Emirati),Dubai,In school (middle/high school),Male,Never,2,"Yes, definitely",4,Not really,Probably not,3,3,2,No preference,No,No,Arabic,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
249,Tech_Savvy_Trusting,0,0,18-20,Expatriate resident,Abu Dhabi,Working professional,Female,Almost always,7,Somewhat,3,"Yes, a lot",Probably,4,4,5,AI + human (hybrid),Maybe,"Yes, willing to pay",English,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0
250,Curious_Pragmatist,0,0,18-20,UAE National (Emirati),Abu Dhabi,Both studying and working,Male,Sometimes,8,Somewhat,4,Somewhat,Definitely,5,2,4,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",Other,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
251,Curious_Pragmatist,0,0,21-24,Expatriate resident,Dubai,Both studying and working,Male,Sometimes,3,Not sure,3,"Yes, a lot",Definitely,3,3,5,Human professional only,Maybe,Only if free version available,English,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
252,Curious_Pragmatist,0,0,25-27,Expatriate resident,Sharjah,Working professional,Male,Almost always,5,Somewhat,3,Somewhat,Probably,4,4,3,AI + human (hybrid),Maybe,Only if free version available,Both English and Arabic,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
253,Distressed_Skeptic,0,0,21-24,Expatriate resident,Dubai,Working professional,Male,Often,6,"No, not really",2,Somewhat,Probably not,2,1,2,Human professional only,No,Not sure,English,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1
254,Distressed_Skeptic,1,0,21-24,Expatriate resident,Abu Dhabi,In college or university,Male,Sometimes,7,Somewhat,2,"Yes, a lot",Probably not,2,4,3,AI + human (hybrid),No,Only if free version available,English,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
255,Curious_Pragmatist,0,0,18-20,Expatriate resident,Ajman,In college or university,Female,Rarely,8,Somewhat,3,"Yes, a lot",Definitely,4,4,3,AI + human (hybrid),"Yes, definitely",Only if free version available,Both English and Arabic,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1
256,Curious_Pragmatist,0,0,25-27,Expatriate resident,Dubai,Working professional,Male,Sometimes,6,"No, not really",3,Somewhat,Probably,4,2,5,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",English,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0
257,Distressed_Skeptic,0,0,25-27,Expatriate resident,Abu Dhabi,Working professional,Female,Almost always,8,"No, not really",1,"Yes, a lot",Not sure,3,2,2,Human professional only,No,No,English,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0
258,Low_Need_Indifferent,0,0,12-14,Expatriate resident,Dubai,In school (middle/high school),Prefer not to say,Never,1,"Yes, definitely",4,Not really,Definitely not,3,3,2,Human professional only,No,No,English,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
259,Curious_Pragmatist,0,0,21-24,International student (short-term),Sharjah,In college or university,Female,Never,6,"Yes, definitely",2,"Yes, a lot",Probably,4,3,3,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",English,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
260,Curious_Pragmatist,1,0,18-20,Expatriate resident,Abu Dhabi,In college or university,Female,Often,5,Somewhat,3,Somewhat,Probably,3,3,4,AI + human (hybrid),Maybe,"Yes, willing to pay",Other,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
261,Distressed_Skeptic,0,0,21-24,Expatriate resident,Dubai,In college or university,Male,Almost always,7,"No, not really",3,"Yes, a lot",Not sure,3,2,2,Human professional only,Maybe,No,Both English and Arabic,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1
262,Tech_Savvy_Trusting,0,0,15-17,Expatriate resident,Dubai,In school (middle/high school),Male,Sometimes,6,"Yes, definitely",2,Not really,Definitely,4,4,5,AI on its own,"Yes, definitely","Yes, willing to pay",Other,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1
263,Distressed_Skeptic,0,0,12-14,Expatriate resident,Ajman,In school (middle/high school),Male,Often,7,Not sure,2,Somewhat,Not sure,2,1,2,Human professional only,No,Only if free version available,English,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
264,Distressed_Skeptic,0,0,21-24,Expatriate resident,Sharjah,Working professional,Male,Often,8,Not sure,2,"Yes, a lot",Not sure,2,1,2,Human professional only,Maybe,No,Both English and Arabic,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0
265,Distressed_Skeptic,0,0,15-17,Expatriate resident,Ajman,In school (middle/high school),Female,Almost always,7,"No, not really",1,"Yes, a lot",Probably not,3,3,1,Human professional only,No,No,Both English and Arabic,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1
266,Distressed_Skeptic,0,0,25-27,Expatriate resident,Dubai,Both studying and working,Male,Often,6,"No, not really",2,"Yes, a lot",Not sure,3,2,2,Human professional only,No,No,English,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1
267,Tech_Savvy_Trusting,0,0,18-20,UAE National (Emirati),Abu Dhabi,Working professional,Female,Often,5,"Yes, definitely",3,"Yes, a lot",Definitely,5,5,4,AI + human (hybrid),Maybe,No,Both English and Arabic,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0
268,Curious_Pragmatist,0,0,21-24,Expatriate resident,Sharjah,Both studying and working,Male,Almost always,6,"Yes, definitely",4,Not at all,Not sure,4,3,3,AI + human (hybrid),"Yes, definitely",Only if free version available,Both English and Arabic,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
269,Curious_Pragmatist,0,0,12-14,Expatriate resident,Abu Dhabi,In school (middle/high school),Male,Rarely,6,"Yes, definitely",2,Not at all,Probably,3,3,5,AI on its own,"Yes, definitely",Not sure,Both English and Arabic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
270,Tech_Savvy_Trusting,0,0,15-17,Expatriate resident,Abu Dhabi,In school (middle/high school),Male,Almost always,7,Somewhat,3,Not really,Probably not,4,4,3,AI + human (hybrid),Maybe,No,English,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1
271,Low_Need_Indifferent,0,0,21-24,Expatriate resident,Abu Dhabi,Working professional,Male,Sometimes,3,"No, not really",1,"Yes, a lot",Probably not,2,1,1,AI on its own,No,No,English,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1
272,Distressed_Skeptic,1,0,15-17,UAE National (Emirati),Dubai,In school (middle/high school),Male,Almost always,6,Not sure,2,"Yes, a lot",Definitely,2,1,1,Human professional only,Maybe,Not sure,Other,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
273,Curious_Pragmatist,1,0,18-20,Expatriate resident,Abu Dhabi,Both studying and working,Female,Almost always,7,"Yes, definitely",3,"Yes, a lot",Probably,3,5,5,AI + human (hybrid),Maybe,Only if free version available,English,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0
274,Tech_Savvy_Trusting,1,0,18-20,Expatriate resident,Ras Al Khaimah,In college or university,Prefer not to say,Often,6,Somewhat,3,"Yes, a lot",Probably,4,4,5,Human professional only,"Yes, definitely",Only if free version available,Both English and Arabic,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
275,Curious_Pragmatist,0,0,21-24,International student (short-term),Sharjah,Currently not studying or working,Male,Almost always,6,Not sure,3,Not at all,Probably,5,3,4,No preference,"Yes, definitely",Not sure,English,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
276,Low_Need_Indifferent,0,0,25-27,UAE National (Emirati),Other,Working professional,Female,Sometimes,2,"No, not really",2,Not really,Probably not,2,3,3,No preference,No,Only if free version available,Arabic,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0
277,Distressed_Skeptic,0,0,25-27,Expatriate resident,Abu Dhabi,Working professional,Male,Almost always,7,Not sure,2,Somewhat,Not sure,3,2,1,Human professional only,No,No,Both English and Arabic,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1
278,Low_Need_Indifferent,0,0,12-14,UAE National (Emirati),Dubai,In school (middle/high school),Male,Sometimes,3,Somewhat,3,Somewhat,Probably,2,3,3,AI + human (hybrid),Maybe,Only if free version available,Both English and Arabic,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0
279,Tech_Savvy_Trusting,0,0,21-24,Expatriate resident,Abu Dhabi,Working professional,Male,Almost always,9,Not sure,2,Not really,Probably,4,5,5,AI on its own,"Yes, definitely",Only if free version available,English,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1
280,Tech_Savvy_Trusting,1,0,25-27,Expatriate resident,Dubai,Currently not studying or working,Male,Sometimes,6,"Yes, definitely",4,Not really,Definitely,4,5,5,AI + human (hybrid),"Yes, definitely",Only if free version available,English,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1
281,Low_Need_Indifferent,0,0,21-24,Expatriate resident,Ras Al Khaimah,Working professional,Female,Never,3,Somewhat,5,Not at all,Probably,2,1,1,Human professional only,Maybe,No,English,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1
282,Curious_Pragmatist,0,0,21-24,International student (short-term),Dubai,Working professional,Male,Rarely,5,Somewhat,3,"Yes, a lot",Definitely,4,3,5,AI + human (hybrid),Maybe,Only if free version available,English,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1
283,Distressed_Skeptic,0,0,12-14,International student (short-term),Dubai,In school (middle/high school),Male,Often,9,Not sure,2,"Yes, a lot",Probably,1,1,3,AI + human (hybrid),No,No,Both English and Arabic,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0
284,Curious_Pragmatist,0,0,25-27,Other,Ras Al Khaimah,Working professional,Female,Sometimes,4,"No, not really",3,Somewhat,Probably,3,4,3,No preference,"Yes, definitely","Yes, willing to pay",English,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1
285,Low_Need_Indifferent,1,0,15-17,Expatriate resident,Dubai,In school (middle/high school),Prefer not to say,Rarely,4,Somewhat,4,"Yes, a lot",Not sure,2,3,1,AI + human (hybrid),No,No,Arabic,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0
286,Distressed_Skeptic,0,0,25-27,International student (short-term),Dubai,Working professional,Male,Sometimes,8,"Yes, definitely",2,Somewhat,Not sure,3,2,2,AI + human (hybrid),"Yes, definitely",No,English,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
287,Curious_Pragmatist,0,0,18-20,UAE National (Emirati),Abu Dhabi,In college or university,Female,Sometimes,7,Somewhat,4,Somewhat,Not sure,4,3,4,AI + human (hybrid),No,Not sure,Arabic,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
288,Curious_Pragmatist,0,0,15-17,Expatriate resident,Ras Al Khaimah,In school (middle/high school),Male,Often,6,"Yes, definitely",3,Somewhat,Definitely,4,3,4,AI + human (hybrid),"Yes, definitely",Only if free version available,Both English and Arabic,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
289,Low_Need_Indifferent,0,0,18-20,Expatriate resident,Sharjah,Both studying and working,Female,Sometimes,5,"No, not really",3,"Yes, a lot",Definitely not,3,3,1,Human professional only,No,Only if free version available,Both English and Arabic,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0
290,Tech_Savvy_Trusting,0,0,12-14,Expatriate resident,Abu Dhabi,In school (middle/high school),Male,Sometimes,7,"No, not really",4,Somewhat,Definitely,4,5,5,Human professional only,"Yes, definitely","Yes, willing to pay",Other,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
291,Distressed_Skeptic,1,0,21-24,Expatriate resident,Dubai,In college or university,Prefer not to say,Often,9,Somewhat,2,Not really,Definitely,2,1,3,No preference,No,No,Other,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
292,Distressed_Skeptic,0,0,12-14,UAE National (Emirati),Abu Dhabi,In school (middle/high school),Female,Sometimes,8,"No, not really",1,Somewhat,Not sure,2,1,2,Human professional only,No,No,Other,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
293,Tech_Savvy_Trusting,1,0,15-17,UAE National (Emirati),Sharjah,Currently not studying or working,Female,Rarely,5,Somewhat,4,Somewhat,Probably,5,4,4,AI on its own,"Yes, definitely","Yes, willing to pay",Other,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
294,Low_Need_Indifferent,0,0,15-17,Expatriate resident,Sharjah,In school (middle/high school),Female,Never,3,Somewhat,4,Somewhat,Probably not,1,3,2,No preference,No,No,English,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0
295,Low_Need_Indifferent,0,0,18-20,Expatriate resident,Dubai,In college or university,Female,Often,3,"No, not really",3,Somewhat,Probably not,2,3,2,Human professional only,No,No,English,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
296,Resilient_Optimizer,0,0,21-24,Expatriate resident,Dubai,In college or university,Male,Sometimes,3,"Yes, definitely",4,Not really,Probably,4,4,3,Human professional only,Maybe,Not sure,Both English and Arabic,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
297,Resilient_Optimizer,1,0,18-20,Other,Dubai,In college or university,Female,Rarely,5,"Yes, definitely",5,Not really,Definitely,4,2,3,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
298,Tech_Savvy_Trusting,0,0,21-24,International student (short-term),Abu Dhabi,Working professional,Female,Sometimes,8,"No, not really",4,Somewhat,Definitely,4,4,4,No preference,"Yes, definitely",Only if free version available,English,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
299,Tech_Savvy_Trusting,0,0,21-24,Expatriate resident,Dubai,Both studying and working,Female,Often,5,Somewhat,3,Somewhat,Definitely,5,5,4,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",Both English and Arabic,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0
300,Curious_Pragmatist,0,0,18-20,Other,Abu Dhabi,In college or university,Male,Often,6,"Yes, definitely",4,Not at all,Definitely,3,4,3,Human professional only,No,Only if free version available,English,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
301,Low_Need_Indifferent,0,0,15-17,Expatriate resident,Dubai,Both studying and working,Male,Rarely,4,"No, not really",4,Not really,Definitely not,3,3,1,AI + human (hybrid),No,No,Both English and Arabic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1
302,Distressed_Skeptic,0,0,18-20,International student (short-term),Dubai,Both studying and working,Female,Rarely,8,"No, not really",1,"Yes, a lot",Probably not,2,2,2,Human professional only,No,No,Arabic,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0
